Day,Time,Classes
M,0,0
M,15,0
M,30,0
M,45,0
M,100,0
M,115,0
M,130,0
M,145,0
M,200,0
M,215,0
M,230,0
M,245,0
M,300,0
M,315,0
M,330,0
M,345,0
M,400,0
M,415,0
M,430,0
M,445,0
M,500,0
M,515,0
M,530,0
M,545,0
M,600,0
M,615,0
M,630,0
M,645,0
M,700,0
M,715,9
M,730,9
M,745,51
M,800,51
M,815,89
M,830,89
M,845,355
M,900,348
M,915,433
M,930,273
M,945,669
M,1000,652
M,1015,690
M,1030,257
M,1045,727
M,1100,691
M,1115,720
M,1130,327
M,1145,714
M,1200,626
M,1215,640
M,1230,181
M,1245,557
M,1300,532
M,1315,564
M,1330,215
M,1345,745
M,1400,711
M,1415,731
M,1430,449
M,1445,718
M,1500,646
M,1515,664
M,1530,329
M,1545,635
M,1600,582
M,1615,592
M,1630,365
M,1645,459
M,1700,363
M,1715,411
M,1730,117
M,1745,180
M,1800,151
M,1815,200
M,1830,121
M,1845,142
M,1900,113
M,1915,118
M,1930,84
M,1945,91
M,2000,67
M,2015,81
M,2030,62
M,2045,62
M,2100,45
M,2115,45
M,2130,9
M,2145,9
M,2200,0
M,2215,0
M,2230,0
M,2245,0
M,2300,0
M,2315,0
M,2330,0
M,2345,0
T,0,0
T,15,0
T,30,0
T,45,0
T,100,0
T,115,0
T,130,0
T,145,0
T,200,0
T,215,0
T,230,0
T,245,0
T,300,0
T,315,0
T,330,0
T,345,0
T,400,0
T,415,0
T,430,0
T,445,0
T,500,0
T,515,0
T,530,0
T,545,0
T,600,0
T,615,0
T,630,0
T,645,3
T,700,3
T,715,11
T,730,11
T,745,57
T,800,55
T,815,89
T,830,86
T,845,556
T,900,544
T,915,650
T,930,401
T,945,858
T,1000,801
T,1015,858
T,1030,351
T,1045,950
T,1100,901
T,1115,933
T,1130,455
T,1145,899
T,1200,790
T,1215,819
T,1230,274
T,1245,692
T,1300,627
T,1315,690
T,1330,331
T,1345,904
T,1400,843
T,1415,888
T,1430,527
T,1445,885
T,1500,793
T,1515,822
T,1530,376
T,1545,748
T,1600,690
T,1615,736
T,1630,472
T,1645,590
T,1700,470
T,1715,504
T,1730,173
T,1745,270
T,1800,218
T,1815,278
T,1830,175
T,1845,216
T,1900,178
T,1915,191
T,1930,146
T,1945,159
T,2000,137
T,2015,135
T,2030,82
T,2045,85
T,2100,60
T,2115,60
T,2130,16
T,2145,16
T,2200,1
T,2215,1
T,2230,0
T,2245,0
T,2300,0
T,2315,0
T,2330,0
T,2345,0
W,0,0
W,15,0
W,30,0
W,45,0
W,100,0
W,115,0
W,130,0
W,145,0
W,200,0
W,215,0
W,230,0
W,245,0
W,300,0
W,315,0
W,330,0
W,345,0
W,400,0
W,415,0
W,430,0
W,445,0
W,500,0
W,515,0
W,530,0
W,545,0
W,600,0
W,615,0
W,630,0
W,645,0
W,700,0
W,715,7
W,730,7
W,745,44
W,800,44
W,815,91
W,830,91
W,845,415
W,900,409
W,915,516
W,930,335
W,945,778
W,1000,757
W,1015,791
W,1030,307
W,1045,845
W,1100,809
W,1115,841
W,1130,379
W,1145,834
W,1200,737
W,1215,773
W,1230,258
W,1245,686
W,1300,638
W,1315,672
W,1330,278
W,1345,847
W,1400,800
W,1415,819
W,1430,493
W,1445,830
W,1500,754
W,1515,781
W,1530,382
W,1545,749
W,1600,677
W,1615,703
W,1630,442
W,1645,539
W,1700,449
W,1715,496
W,1730,153
W,1745,243
W,1800,200
W,1815,265
W,1830,174
W,1845,204
W,1900,171
W,1915,184
W,1930,130
W,1945,146
W,2000,112
W,2015,126
W,2030,93
W,2045,95
W,2100,68
W,2115,68
W,2130,19
W,2145,19
W,2200,2
W,2215,2
W,2230,0
W,2245,0
W,2300,0
W,2315,0
W,2330,0
W,2345,0
Th,0,0
Th,15,0
Th,30,0
Th,45,0
Th,100,0
Th,115,0
Th,130,0
Th,145,0
Th,200,0
Th,215,0
Th,230,0
Th,245,0
Th,300,0
Th,315,0
Th,330,0
Th,345,0
Th,400,0
Th,415,0
Th,430,0
Th,445,0
Th,500,0
Th,515,0
Th,530,0
Th,545,1
Th,600,1
Th,615,1
Th,630,1
Th,645,1
Th,700,1
Th,715,2
Th,730,1
Th,745,40
Th,800,40
Th,815,90
Th,830,90
Th,845,555
Th,900,545
Th,915,664
Th,930,402
Th,945,893
Th,1000,835
Th,1015,889
Th,1030,382
Th,1045,970
Th,1100,915
Th,1115,941
Th,1130,443
Th,1145,900
Th,1200,799
Th,1215,821
Th,1230,265
Th,1245,768
Th,1300,707
Th,1315,757
Th,1330,325
Th,1345,922
Th,1400,866
Th,1415,898
Th,1430,532
Th,1445,914
Th,1500,832
Th,1515,873
Th,1530,402
Th,1545,759
Th,1600,693
